transaction_id,timestamp,amount,merchant_category,card_present,country_code,hour_of_day,day_of_week,customer_id,merchant_id,num_prev_txn_1h,distance_from_home_km,is_anomaly
TXN0006252,2024-01-22 17:00:00,110.91,retail,True,US,17,0,1084,780,0,20.7,0
TXN0004684,2024-01-17 06:20:00,15.2,retail,False,US,6,2,2476,124,2,3.1,0
TXN0001731,2024-01-07 00:15:00,31.91,retail,True,GB,1,6,2042,1130,3,0.5,0
TXN0004742,2024-01-17 11:10:00,29.2,retail,True,US,11,2,2652,437,1,24.9,0
TXN0004521,2024-01-16 16:45:00,48.52,gas,True,US,18,1,1450,1670,3,9.1,0
TXN0006340,2024-01-23 00:20:00,24.7,gas,True,GB,2,1,1590,1657,0,18.8,0
TXN0000576,2024-01-03 00:00:00,164.58,travel,True,US,0,2,4887,962,2,4.6,0
TXN0005202,2024-01-19 01:30:00,10.77,retail,True,US,3,4,1177,876,6,10.6,0
TXN0006363,2024-01-23 02:15:00,34.52,gas,True,US,4,1,4988,804,2,1.6,0
TXN0000439,2024-01-02 12:35:00,55.34,gas,True,US,13,1,3821,413,3,0.8,0
TXN0002750,2024-01-10 13:10:00,52.97,grocery,True,US,13,2,3358,1360,0,2.8,0
TXN0007487,2024-01-26 23:55:00,105.09,retail,True,US,1,4,2006,1353,1,0.3,0
TXN0005272,2024-01-19 07:20:00,15.75,online,True,US,9,4,1250,1217,2,4.5,0
TXN0005653,2024-01-20 15:05:00,68.12,travel,True,US,15,5,2897,890,0,3.6,0
TXN0003999,2024-01-14 21:15:00,7.36,retail,True,US,23,6,2632,1131,0,4.2,0
TXN0006033,2024-01-21 22:45:00,52.87,gas,True,US,23,6,1951,1736,1,32.1,0
TXN0000582,2024-01-03 00:30:00,23.28,retail,True,GB,1,2,3031,799,0,6.6,0
TXN0009930,2024-01-10 01:00:00,3211.28,retail,False,BR,3,6,4326,679,0,2619.4,1
TXN0007051,2024-01-25 11:35:00,273.98,restaurant,False,US,13,3,3113,1654,2,12.3,0
TXN0008158,2024-01-29 07:50:00,34.55,gas,False,MX,7,0,2666,1325,1,0.5,0
TXN0009896,2024-01-09 08:00:00,0.85,grocery,False,BR,2,1,4985,1298,0,2963.6,1
TXN0002249,2024-01-08 19:25:00,134.13,online,False,CA,20,0,3424,1496,1,5.9,0
TXN0004640,2024-01-17 02:40:00,205.09,restaurant,True,US,2,2,2420,867,3,21.5,0
TXN0009485,2024-02-02 22:25:00,62.56,gas,True,US,22,4,3111,1400,3,13.7,0
TXN0004947,2024-01-18 04:15:00,50.67,restaurant,True,US,4,3,2664,1276,2,16.7,0
TXN0009920,2024-01-09 20:00:00,23895.93,online,False,NG,1,4,1583,1098,0,1749.2,1
TXN0001963,2024-01-07 19:35:00,24.94,grocery,False,US,20,6,3322,442,2,9.5,0
TXN0008243,2024-01-29 14:55:00,193.64,online,True,US,14,0,4614,431,1,11.0,0
TXN0006590,2024-01-23 21:10:00,52.45,travel,False,US,23,1,1738,570,3,14.4,0
TXN0008847,2024-01-31 17:15:00,1.8,retail,False,US,19,2,4423,317,0,19.3,0
TXN0000321,2024-01-02 02:45:00,26.34,gas,True,US,2,1,2445,1148,3,7.1,0
TXN0002678,2024-01-10 07:10:00,3.94,retail,True,US,7,2,4241,493,2,2.9,0
TXN0004625,2024-01-17 01:25:00,52.79,travel,True,US,2,2,1384,617,0,8.4,0
TXN0004949,2024-01-18 04:25:00,91.2,restaurant,True,US,5,3,3811,635,1,8.2,0
TXN0008328,2024-01-29 22:00:00,13.07,gas,True,US,23,0,4352,937,2,13.1,0
TXN0003337,2024-01-12 14:05:00,59.48,gas,False,US,16,4,2553,1934,1,21.6,0
TXN0005589,2024-01-20 09:45:00,10.06,gas,False,US,9,5,2500,523,4,21.6,0
TXN0000251,2024-01-01 20:55:00,49.89,retail,True,US,22,0,4672,758,0,1.4,0
TXN0003973,2024-01-14 19:05:00,254.92,grocery,True,US,19,6,4058,822,0,9.8,0
TXN0006630,2024-01-24 00:30:00,49.74,online,False,GB,0,2,3565,246,4,1.9,0
TXN0005547,2024-01-20 06:15:00,108.29,gas,False,US,7,5,3695,671,0,12.5,0
TXN0000035,2024-01-01 02:55:00,128.35,grocery,False,US,4,0,1710,493,1,12.9,0
TXN0008362,2024-01-30 00:50:00,94.47,grocery,True,US,1,1,4855,1846,0,4.3,0
TXN0001513,2024-01-06 06:05:00,3.01,restaurant,True,MX,8,5,2833,690,3,23.7,0
TXN0009317,2024-02-02 08:25:00,16.68,restaurant,True,CA,9,4,4850,1702,1,14.0,0
TXN0000039,2024-01-01 03:15:00,72.29,retail,True,US,5,0,3913,1026,2,2.5,0
TXN0004819,2024-01-17 17:35:00,6.34,retail,True,US,18,2,1511,911,1,9.1,0
